,TransactionID,CustomerID,Date,Amount,Category,PaymentMethod
0,444c1ac9-e5b6-4401-ab36-e565f6c24d00,568692ad-e0a8-4ca3-91d6-ed12655c20a2,2022-11-27,-871.03,Entertainment,Debit Card
1,21a02845-27d6-4d1a-95c6-3afab5bf48c2,e0c919f0-00c9-4305-9604-9dc655d94411,2023-02-10,-858.23,Utilities,Cash
2,ecb4c55a-49d4-4bc5-ba5b-2f892edb0d53,d08745f7-1ea7-4038-9839-6a32d8caba1e,2022-09-30,483.02,Groceries,Credit Card
3,65ac0c00-3b7f-41aa-bfc8-bc62d92cd29b,cd161ba2-9ffa-4f7d-9c85-c0f66d04e5c2,2020-11-03,-213.59,Groceries,Bank Transfer
4,3a3a7467-60fb-46d1-baff-09c6587b4fb9,0a9aa989-f962-45d5-a1ed-ecc603026a86,2020-06-30,356.6,Entertainment,Credit Card
5,5cb92a9a-cae9-4085-bf03-cd892408cd40,cf7525f0-35d0-4b9a-86a9-f6a21a6cea42,2023-08-08,664.17,Utilities,Credit Card
6,463aa0d3-2cb4-4351-bc5e-fe46c717753f,5e5c1431-402e-445a-8951-dee717d3abf7,2023-10-02,498.79,Electronics,Credit Card
7,15f8ff98-09dd-4cf6-8031-d034a5aa539c,645a141a-fb1e-40ca-89b0-39bd923e6f0f,2021-09-15,8.83,Utilities,Cash
8,e7b64caa-f741-43a3-b503-cf6e42bbe66e,94b2416d-6bbd-4452-8bab-4fac4d706491,2020-08-19,833.68,Restaurants,Debit Card
9,591c577e-0689-4a38-8ca7-6266e752eb92,d067134b-62ae-4d40-af02-fb528b5aa1f8,2022-11-16,-526.38,Clothing,Cash
10,21b38e81-920d-4594-86ec-3ba61df42a10,ebf08c1a-6352-4216-9281-21c8a3523326,2021-09-12,-592.33,Utilities,Cash
11,1883bf1d-6c1e-400d-94e1-8ef195d1a9c3,0c003ff7-2dc9-472a-a5e0-2376df9d5cf8,2020-07-24,583.36,Restaurants,Bank Transfer
12,23ecab44-a044-4939-9bbc-3a3f8601f043,0720797e-88d5-47ce-98e4-07263983ce8b,2020-06-29,770.59,Electronics,Cash
13,f9659a97-c3df-4cf8-addb-43111e862dd8,2a132a04-740a-48f7-8812-3746bd842fb4,2023-06-29,-866.77,Electronics,Credit Card
14,d2586f22-795d-4948-bfa3-93db9f52eb31,09836962-1be9-467c-8ead-f729cec5cbc4,2021-07-16,160.84,Groceries,Cash
15,2f6358b5-7153-46bd-8d30-bfabeee16f9c,7c0288a4-5a65-4d0d-a7cc-e2bb42eb2d71,2023-02-07,933.04,Groceries,Bank Transfer
16,71788195-a55c-4590-a08e-b99d5fd758bb,8e460edb-aa47-4137-9d59-53baa70c4692,2020-11-16,-893.78,Groceries,Credit Card
17,c38604bb-26b3-4267-b2c0-3ca48a7666e9,67fdba54-d357-46c5-a3fa-e86e86c0cacd,2024-03-29,482.09,Entertainment,Debit Card
18,8001434d-678c-47d5-84d8-ebc8e3b3d371,217258a3-de1f-4c21-82b6-46c74509bd5f,2023-04-30,646.42,Entertainment,Bank Transfer
19,2401f6a1-56dc-4975-a50e-fefb949fc282,47aefbea-3506-4c1a-a6bd-b52e418991b3,2022-07-15,252.63,Utilities,Debit Card
20,c9d8b33a-de8e-477a-8a98-dda9b321d822,32083a35-8d80-4974-bbee-28a9fafaffbd,2023-12-08,-865.65,Restaurants,Debit Card
21,c47e8dc4-45ee-4242-9da8-2805f6b4bcca,a806bf11-d7e9-46b9-98d6-6609ca0d3d79,2020-03-11,-819.36,Clothing,Debit Card
22,83935ff3-f226-449e-8524-a99bb28e45d1,03af9ffb-84ec-46aa-a3d5-4d6c046ff8e0,2020-03-13,-345.96,Groceries,Bank Transfer
23,f21eb562-0cb3-4bc1-b521-a3229ea319d3,c241033a-49a3-4564-b221-45513c3d2abb,2024-02-13,812.41,Utilities,Debit Card
24,ec21fb5f-75ec-4219-83be-cfd1243dd088,329d4233-0fb1-4e10-81ca-32f1f12ce770,2023-04-25,284.31,Clothing,Credit Card
