order_id,customer_id,product_id,quantity,order_date
b3b3e3ee-db57-46e8-ace1-5dcae0d391bd,acd2c377-e04a-4172-b2a9-13f87cea7296,3ac7e8d4-597a-4ac8-883c-6696cde69a9e,2,2024-05-13
54b68b19-bcc4-4789-bf77-534f8e22b3ed,93d49763-2b3e-43ca-b40b-94fd0da4b764,3dcbf357-c1d7-4dbe-aaf6-0ee8bca4597c,1,2024-03-31
ff933134-a801-4e92-ad8f-d12cbbb835c8,e882c202-a3bb-4de5-a929-ba62cdf8b49c,3c51e632-8a2b-4361-a855-5e857fa69971,4,2024-06-13
dc735b5c-4a6c-4830-a52e-febf436bc6d8,2ded4432-16b7-418a-a70d-742402ce5589,1577caef-0667-4271-a623-c4acb1846637,1,2024-02-21
2922ea07-5f2d-4066-8240-137aeffdec30,6d7e3a04-f846-414c-b62e-efe9c5726b1d,705d9a0e-4fbe-4e94-a1d0-fe516e9c04f5,3,2024-03-02
975c24d2-344e-4b34-b6b9-784b9bd756da,b245b76b-873e-4589-9e36-2ad457c1ad6a,9753711e-3b72-425f-ae7f-5e7ea5d7b75c,8,2024-06-08
79d04484-4d81-48a6-b173-a69fcdcef0a6,6b056e72-8856-4543-b7ff-ac6ced1a72fd,17f84b69-a860-4c50-b4be-15b8fe46e62f,3,2024-04-23
fa47ecb4-2637-48d6-bc8e-40c18b5e6b1c,c36bdd2c-47c4-4176-bc76-9c55a6fde91a,9753711e-3b72-425f-ae7f-5e7ea5d7b75c,1,2024-03-06
934a3cf2-deac-4710-a9c5-52bf0089bdfc,190e687f-bb16-466c-b8b7-a092dd6d2de7,705d9a0e-4fbe-4e94-a1d0-fe516e9c04f5,4,2024-01-23
2fef19b7-3602-4202-9ed8-f3aab105f9d8,fbe05d55-b377-4c2e-b59c-ab1dfb6beb82,2d6ff82d-56c4-476f-b991-71fa17b19f1b,9,2024-01-30
a640e037-8ce9-4273-b399-100a4a0e4930,9694f38c-993c-40d4-b0d2-6fd46f8ee72c,9f0fd9c0-c198-4f65-90e7-4080d48047e5,9,2024-02-25
9cea8f7c-bdbd-486f-a8ca-f4cdeeab5a68,d3024dc8-831a-48eb-a519-2ca6d6104ff3,fdd385f4-97e3-4c2e-a127-4894945e013e,5,2024-01-31
24932727-451a-4426-804a-680af0ee0b7d,45efb56e-8b20-4195-bb50-4170e5a4bd7d,df3a5d30-042a-4a86-a6d5-69a13261b882,8,2024-05-08
1ac84de8-075a-467d-b614-41095baf06a6,35c0c88d-1096-445a-81d3-4ab8f3f95ec3,cfd85404-e2e3-4110-b274-878bb44bc441,1,2024-06-04
84b1e09e-1355-4655-838d-2f1cd16879d1,9cab6934-9d91-45e4-b00c-4e5d3369d8f3,874cf4b0-62ea-49c1-a9b7-4f9ac5d55ba3,4,2024-03-13
d6366580-cd18-4a74-9781-fe495d9576a5,c00a32ac-6ee6-4899-b1ab-eb80e62704ce,14d01422-bf79-4c87-b18e-cfcaf215743c,1,2024-01-28
c8156a03-bedf-425d-90ec-6b7d5c7bd2b3,c22448a5-8b10-4833-ad3d-7d8179a07407,777c7c9e-c82a-454b-89e4-0cdfe883c9d4,4,2024-02-26
fb802596-4a1f-4d89-a92b-c1e2c488b30a,48d466ee-fd5b-4677-9140-c568681274fc,cfd85404-e2e3-4110-b274-878bb44bc441,8,2024-02-06
5e5c7908-85c2-4985-9bf2-553151f1eb97,0bb929b2-fe38-4dfb-87e3-722ec79c0ebf,27e209fe-e1b2-4b1d-b862-ddf5cd1594d8,5,2024-03-18
fe143cff-d4f3-4044-bbe6-418593d899c5,8053a1a5-b146-4dcf-8bc9-b0a222531771,4954d9dd-14b3-47aa-acf7-09d6b81c4a4f,5,2024-06-21
ef146a55-aaef-491f-90c3-3c3a9afce130,5d52ba7e-1f91-4c9a-b5eb-21e5351e296b,65bfc710-e374-455b-a7c7-a6d93ca7fb9a,10,2024-03-22
2c279832-cf5b-4c30-86fd-6c99436dc46e,d7737fce-1115-417d-a165-9cb0f8cc2011,1627d399-29d9-4373-8c07-767043cc9454,5,2024-03-02
f22934ce-b91d-4f92-952d-1ca07948fc3f,89c72a40-1c61-474c-82a4-7b130712a4ce,777c7c9e-c82a-454b-89e4-0cdfe883c9d4,5,2024-06-15
b8a76af0-0113-4dab-8ed6-bfac02946d28,49a7996c-4cad-4771-98b4-641928afb0c3,705d9a0e-4fbe-4e94-a1d0-fe516e9c04f5,4,2024-01-08
f54a852e-1375-41c5-84bf-2472393e274c,2e1e771e-6f6d-4bc6-a7fb-ff0f2a5250b6,3f06090f-a546-4d3b-aae6-611edca09d0e,5,2024-01-06
ae2cb16f-dff0-40e8-a6f6-5356f50553b8,afd9ebc7-ec4d-443c-894f-44c8ba82b378,3dcbf357-c1d7-4dbe-aaf6-0ee8bca4597c,8,2024-05-15
b223ada0-e253-4923-b34c-6663b0ac3c34,2db3f803-93c3-4db3-9d0c-3e8d3a57ef32,27e209fe-e1b2-4b1d-b862-ddf5cd1594d8,8,2024-03-07
af6afa15-f630-4e34-aea4-3425c3436529,26a6b54f-c1f0-497d-b8bf-7968af8d3f4f,f6f9de3d-25bc-42fc-9b95-77d1e1ec3a70,8,2024-04-23
42973d11-cee6-4998-80f5-3bcee86407da,65bff710-4e2c-4320-8cfe-8cde80120b83,3af917f5-5779-4fbc-8d57-37b66c91d645,6,2024-06-23
7951f9f2-0913-4c46-8b7c-0c53cc1d7e0c,a4b9b728-194a-4a66-88c1-adcc712e069a,401b90af-3cf5-4782-9d4b-150d6dc0d4d4,1,2024-05-03
b6912959-71e4-4bc7-8cdc-0c7dbbe1d929,da5c9de0-1a64-49f1-80bd-91dbd213f3cf,1d0dceec-3171-49be-a2e5-594d38e5560b,1,2024-01-01
3ce80437-c6b9-4bdb-86b6-d600a237d7b0,8349e17a-2294-4da0-bfe9-580cb094205f,534c88f1-e4ae-4d1e-936e-8195be705d0e,2,2024-03-31
ba6a3743-0c74-4230-aa1e-2033ec3c77e8,246ed05f-d06a-4a49-a29d-639c4338471f,342c31c7-0e87-49bb-bbdf-af9b0ced36c5,4,2024-02-06
